City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
victoria,75,BN,1573441544,74,5.28,115.24,86.68,3.36
busselton,0,AU,1573441544,29,-33.64,115.35,70.93,11.12
bhag,96,PK,1573441545,21,29.04,67.82,72.48,2.46
namibe,0,AO,1573441545,86,-15.19,12.15,74.86,12.73
bluff,0,AU,1573441545,11,-23.58,149.07,89.31,4.38
east london,100,ZA,1573441545,83,-33.02,27.91,68.04,23.98
coquimbo,75,CL,1573441545,87,-29.95,-71.34,57.2,4.7
hithadhoo,100,MV,1573441545,70,-0.6,73.08,83.03,7.29
takoradi,100,GH,1573441546,84,4.89,-1.75,78.76,4.21
scarborough,100,GB,1573441546,100,54.28,-0.41,40.44,9.17
vaini,20,IN,1573441546,83,15.34,74.49,71.6,5.82
deputatskiy,100,RU,1573441546,100,69.3,139.9,-2.48,1.63
tessalit,98,ML,1573441546,15,20.2,1.01,69.1,13.6
avarua,26,CK,1573441546,78,-21.21,-159.78,75.2,4.7
alofi,84,NU,1573441547,65,-19.06,-169.92,82.4,12.75
tuatapere,96,NZ,1573441547,68,-46.13,167.69,51.01,8.99
ranong,28,TH,1573441547,88,9.96,98.62,80.6,2.77
rikitea,86,PF,1573441547,83,-23.12,-134.97,74.3,14.29
thompson,75,CA,1573441547,75,55.74,-97.86,-18.41,3.36
dingle,98,PH,1573441547,72,11.0,122.67,82.94,4.92
tucupita,43,VE,1573441548,97,9.06,-62.05,74.97,3.33
beyneu,0,KZ,1573441548,74,45.32,55.19,39.2,13.15
atuona,33,PF,1573441548,69,-9.8,-139.03,80.33,10.71
georgetown,20,GY,1573441387,94,6.8,-58.16,78.8,4.7
diamantino,10,BR,1573441548,94,-14.4,-56.44,70.88,2.13
kodiak,1,US,1573441268,74,39.95,-94.76,36.34,20.8
hobart,100,AU,1573441549,10,-42.88,147.33,76.51,24.16
nikolskoye,90,RU,1573441549,93,59.7,30.79,42.96,4.47
cockburn town,15,TC,1573441549,77,21.46,-71.14,81.84,18.88
esperance,75,AU,1573441549,58,-33.86,121.89,59.0,17.22
albany,90,US,1573441549,52,42.65,-73.75,39.83,6.93
kapaa,90,US,1573441550,78,22.08,-159.32,76.95,5.82
mahebourg,75,MU,1573441550,94,-20.41,57.7,71.15,3.36
carthage,1,US,1573441550,76,32.16,-94.34,57.97,8.19
port alfred,100,ZA,1573441550,96,-33.59,26.89,62.01,4.0
mackay,5,CA,1573441550,84,53.65,-115.58,1.36,2.24
ushuaia,20,AR,1573441550,54,-54.81,-68.31,53.6,11.41
mar del plata,35,AR,1573441551,83,-46.43,-67.52,51.06,9.82
matara,100,BI,1573441551,89,-3.48,29.48,58.39,6.02
new norfolk,100,AU,1573441551,10,-42.78,147.06,76.5,24.16
vardo,75,US,1573441551,80,39.62,-77.74,41.2,2.82
punta arenas,75,CL,1573441551,70,-53.16,-70.91,46.24,10.29
carsamba,0,TR,1573441551,54,41.2,36.72,55.4,4.7
castro,78,CL,1573441552,87,-42.48,-73.76,51.8,5.82
jamestown,0,AU,1573441552,9,-33.21,138.6,85.14,18.86
hermanus,87,ZA,1573441552,87,-34.42,19.24,62.78,11.01
bilibino,84,RU,1573441552,63,68.06,166.44,19.45,4.45
vila velha,96,BR,1573441552,74,-3.71,-38.6,82.13,12.75
pompeu,100,BR,1573441553,83,-21.05,-48.85,75.2,2.24
tuktoyaktuk,5,CA,1573441553,72,69.44,-133.03,14.0,19.46
ancud,88,CL,1573441553,87,-41.87,-73.83,51.8,5.82
tiksi,100,RU,1573441553,97,71.64,128.87,-6.69,2.04
butaritari,53,KI,1573441553,68,3.07,172.79,84.27,5.82
kavaratti,40,IN,1573441553,83,10.57,72.64,80.6,8.39
hilo,20,US,1573441300,62,19.71,-155.08,73.63,5.82
bredasdorp,97,ZA,1573441554,82,-34.53,20.04,64.71,14.99
laguna de perlas,27,NI,1573441554,82,12.34,-83.67,82.11,15.39
leningradskiy,33,RU,1573441554,81,69.38,178.42,17.37,8.43
qaanaaq,0,GL,1573441554,43,77.48,-69.36,0.37,5.61
mansa,40,IN,1573441554,78,23.43,72.66,73.4,5.82
upernavik,100,GL,1573441260,62,72.79,-56.15,25.83,4.52
bartica,20,GY,1573441555,94,6.41,-58.62,78.8,4.7
pangoa,100,PE,1573441555,99,-12.12,-73.0,70.23,1.7
saint-philippe,90,CA,1573441555,100,45.36,-73.48,33.76,6.93
chapais,1,CA,1573441556,84,49.78,-74.86,5.0,3.36
bethel,90,US,1573441556,93,60.79,-161.76,39.16,5.82
guerrero negro,80,MX,1573441556,88,27.97,-114.04,64.96,10.69
lompoc,1,US,1573441283,87,34.64,-120.46,54.7,10.25
ponta do sol,100,BR,1573441556,86,-20.63,-46.0,68.58,2.53
borogontsy,100,RU,1573441557,94,62.67,131.17,-2.75,2.84
zhanakorgan,0,KZ,1573441557,51,43.91,67.25,34.79,7.7
fairlie,1,US,1573441557,63,33.31,-95.96,62.55,8.05
bitung,20,ID,1573441359,59,1.44,125.19,89.6,3.36
saldanha,100,PT,1573441557,96,41.42,-6.55,42.57,3.78
margate,100,AU,1573441557,10,-43.03,147.26,76.55,24.16
manado,20,ID,1573441294,59,1.49,124.85,89.6,3.36
krasnyy chikoy,38,RU,1573441558,49,50.36,108.75,16.29,1.52
dikson,51,RU,1573441558,96,73.51,80.55,9.75,7.87
faanui,100,PF,1573441558,73,-16.48,-151.75,80.2,7.7
cabo san lucas,75,MX,1573441438,74,22.89,-109.91,77.94,4.7
torbay,5,CA,1573441558,80,47.66,-52.73,31.42,8.05
arraial do cabo,40,BR,1573441559,94,-22.97,-42.02,75.2,4.7
vestmannaeyjar,100,IS,1573441559,71,63.44,-20.27,45.34,23.04
tasiilaq,100,GL,1573441559,90,65.61,-37.64,37.4,54.13
bambous virieux,75,MU,1573441559,94,-20.34,57.76,71.01,3.36
bechem,100,GH,1573441559,93,7.09,-2.02,71.92,1.25
moyale,31,ET,1573441560,84,3.52,39.05,69.71,4.63
mataura,100,NZ,1573441560,68,-46.19,168.86,51.01,8.99
yellowknife,40,CA,1573441560,84,62.45,-114.38,6.89,5.82
lebu,67,ET,1573441560,77,8.96,38.73,49.82,2.39
north bay,75,CA,1573441446,85,46.31,-79.46,16.41,9.17
chokurdakh,100,RU,1573441561,95,70.62,147.9,5.14,8.16
codrington,90,AU,1573441561,42,-28.95,153.24,79.77,6.93
puerto penasco,100,MX,1573441421,90,31.32,-113.53,71.01,5.99
sitka,100,US,1573441561,59,37.17,-99.65,50.0,4.0
cape town,40,ZA,1573441310,88,-33.93,18.42,62.56,10.29
havelock,1,US,1573441561,81,34.88,-76.9,46.89,3.4
kavieng,0,PG,1573441562,67,-2.57,150.8,83.44,3.47
muli,100,CN,1573441562,58,28.08,109.56,61.9,1.21
byron bay,2,AU,1573441562,47,-28.65,153.62,79.21,12.75
haines junction,0,CA,1573441562,53,60.75,-137.51,1.2,0.34
asahikawa,75,JP,1573441562,65,43.76,142.37,46.4,8.05
puerto narino,75,CO,1573441563,100,-3.77,-70.38,75.2,1.34
lorengau,92,PG,1573441563,70,-2.02,147.27,83.91,6.33
kontagora,61,NG,1573441563,50,10.4,5.47,75.06,2.17
axim,100,GH,1573441563,93,4.87,-2.24,75.16,2.19
arenapolis,32,BR,1573441563,92,-14.45,-56.85,69.44,2.19
saint george,0,GR,1573441564,93,39.45,22.34,47.39,3.27
san quintin,4,PH,1573441564,67,17.54,120.52,83.53,3.65
souillac,90,FR,1573441564,100,45.6,-0.6,40.39,2.24
kilgore,1,US,1573441564,71,32.39,-94.88,60.22,9.73
trinidad,100,BO,1573441564,97,-14.83,-64.9,71.71,3.85
ishigaki,20,JP,1573441565,50,24.34,124.16,78.8,13.87
carnarvon,58,ZA,1573441565,58,-30.97,22.13,59.94,9.01
kirakira,46,SB,1573441389,66,-10.46,161.92,81.72,11.5
kautokeino,0,NO,1573441565,41,69.01,23.04,1.6,1.5
aklavik,5,CA,1573441565,55,68.22,-135.01,8.6,1.12
dong hoi,100,VN,1573441566,74,17.48,106.6,73.58,9.51
khatanga,100,RU,1573441566,97,71.98,102.47,-2.48,7.76
husavik,12,CA,1573441566,80,50.56,-96.99,1.54,3.0
nhulunbuy,28,AU,1573441566,26,-12.18,136.78,93.2,11.41
port hedland,2,AU,1573441566,12,-20.31,118.58,105.8,4.7
sabang,89,PH,1573441566,70,13.8,121.11,86.0,4.0
avera,1,US,1573441567,93,33.19,-82.53,45.34,4.0
provideniya,90,RU,1573441567,98,64.42,-173.23,35.6,15.66
fortuna,1,US,1573441567,100,40.6,-124.16,50.0,2.46
port elizabeth,1,US,1573441567,70,39.31,-74.98,45.43,6.93
san patricio,33,PY,1573441567,87,-26.98,-56.83,69.94,6.33
sapouy,71,BF,1573441568,39,11.55,-1.77,76.71,2.59
chivilcoy,16,AR,1573441568,81,-34.9,-60.02,61.0,1.01
tiznit,0,MA,1573441441,50,29.7,-9.73,52.3,1.21
artyom,40,RU,1573441568,81,43.36,132.19,51.8,2.24
lazaro cardenas,40,MX,1573441568,68,28.39,-105.62,66.65,13.13
miri,100,NG,1573441569,34,10.31,9.75,73.78,2.42
paamiut,100,GL,1573441569,85,61.99,-49.67,37.89,8.25
san cristobal,100,HN,1573441569,97,14.68,-86.92,66.0,1.77
pandan,64,PH,1573441569,72,11.72,122.09,81.84,3.51
nouadhibou,25,MR,1573441569,68,20.93,-17.03,66.2,16.11
zhigansk,89,RU,1573441569,90,66.77,123.37,-8.45,7.2
imbituba,75,BR,1573441570,100,-28.24,-48.67,71.6,6.93
fort payne,1,US,1573441570,93,34.44,-85.72,46.47,3.36
mayo,5,CA,1573441570,75,63.59,-135.9,-18.41,2.24
sur,0,OM,1573441541,60,22.57,59.53,75.4,6.29
talnakh,75,RU,1573441570,76,69.49,88.39,-5.81,6.71
skowhegan,75,US,1573441570,55,44.77,-69.72,36.99,3.36
sihora,0,IN,1573441571,72,23.49,80.11,68.0,4.7
alice springs,0,AU,1573441571,5,-23.7,133.88,93.2,8.05
chuy,10,UY,1573441571,86,-33.69,-53.46,60.21,9.33
touros,75,BR,1573441571,78,-5.2,-35.46,78.8,6.93
socorro,90,US,1573441571,43,31.65,-106.3,68.49,6.4
obzor,0,BG,1573441572,100,42.82,27.88,57.0,6.93
panzhihua,89,CN,1573441572,66,26.59,101.72,63.77,1.39
makakilo city,75,US,1573441549,58,21.35,-158.09,81.77,8.05
teacapan,0,MX,1573441572,89,22.54,-105.74,77.74,1.83
alta floresta,100,BR,1573441572,92,-9.87,-56.08,72.12,3.04
evensk,100,RU,1573441573,96,61.92,159.24,27.19,4.7
severo-kurilsk,70,RU,1573441573,75,50.68,156.12,30.07,22.48
kudahuvadhoo,98,MV,1573441573,74,2.67,72.89,81.97,4.0
nishihara,75,JP,1573441404,71,35.74,139.53,59.68,4.7
salalah,0,OM,1573441573,73,17.01,54.1,73.4,2.24
klyuchi,16,RU,1573441573,46,52.25,79.17,17.91,6.04
cidreira,100,BR,1573441574,81,-30.17,-50.22,69.96,16.51
houston,1,US,1573441335,72,29.76,-95.37,62.19,7.74
sile,1,US,1573441574,52,35.56,-106.37,49.55,3.36
saint-joseph,90,FR,1573441574,87,43.56,6.97,49.96,3.36
guanica,1,PR,1573441574,88,17.97,-66.91,77.23,5.68
norman wells,5,CA,1573441574,84,65.28,-126.83,-2.21,1.81
franca,17,BR,1573441575,87,-20.54,-47.4,69.28,3.47
grand gaube,75,MU,1573441575,94,-20.01,57.66,70.41,3.36
puerto ayora,3,EC,1573441573,86,-0.74,-90.35,70.0,5.01
mitu,0,IR,1573441575,33,36.2,46.09,34.81,4.76
tezu,97,IN,1573441575,93,27.93,96.16,68.85,2.51
taitung,40,TW,1573441575,50,22.76,121.15,78.8,5.82
marzuq,0,YE,1573441576,70,14.4,46.47,61.77,1.54
yuli,0,CN,1573441576,61,24.82,106.77,69.57,4.25
zhuhai,0,CN,1573441576,64,40.71,112.04,39.2,2.24
praxedis guerrero,90,MX,1573441576,43,31.37,-106.02,70.39,3.33
ayolas,0,PY,1573441576,84,-27.39,-56.84,69.98,6.69
saint-pierre,100,FR,1573441577,100,48.95,4.24,35.69,6.93
talara,100,PE,1573441577,91,-4.58,-81.27,65.55,11.97
dharchula,94,IN,1573441577,22,29.85,80.53,50.94,1.7
jinchang,0,CN,1573441577,19,38.52,102.19,40.84,2.91
teeli,100,RU,1573441577,80,51.01,90.2,14.02,3.87
sao joao da barra,100,BR,1573441578,91,-21.64,-41.05,74.91,1.88
pochutla,40,MX,1573441578,74,15.74,-96.47,80.28,9.01
cherskiy,85,RU,1573441578,58,68.75,161.3,13.44,0.96
pinega,100,RU,1573441578,95,64.7,43.39,26.15,6.44
garden city,1,US,1573441578,57,43.62,-116.24,48.78,8.05
half moon bay,1,US,1573441422,76,37.46,-122.43,56.66,5.82
ilulissat,100,GL,1573441579,35,69.22,-51.1,41.0,21.92
airai,0,TL,1573441579,30,-8.93,125.41,87.91,8.68
pingliang,80,CN,1573441579,56,35.54,106.68,46.17,6.13
xacmaz,0,AZ,1573441579,88,41.46,48.81,55.63,8.9
dalbandin,100,PK,1573441579,21,28.9,64.41,58.35,11.18
tucuman,88,PE,1573441580,52,-17.17,-70.89,58.5,0.54
hambantota,20,LK,1573441580,100,6.12,81.12,78.8,2.24
nanortalik,100,GL,1573441580,84,60.14,-45.24,31.51,51.47
maceio,57,BR,1573441580,83,-9.67,-35.74,75.2,6.93
xichang,99,CN,1573441580,97,27.88,102.25,46.08,4.72
barrow,79,AR,1573441581,82,-38.31,-60.23,54.81,13.13
pocone,89,BR,1573441581,77,-16.26,-56.62,75.83,2.08
moron,0,HT,1573441581,81,18.56,-74.26,79.79,13.69
celestun,0,MX,1573441581,76,20.87,-90.4,80.4,14.29
mahibadhoo,19,MV,1573441321,70,3.78,72.97,82.13,2.44
upata,0,VE,1573441581,87,8.02,-62.41,79.0,3.0
buala,100,SB,1573441582,82,-8.15,159.59,81.75,11.3
marystown,19,CA,1573441582,2,47.17,-55.16,34.0,19.01
narsaq,100,GL,1573441417,80,60.91,-46.05,33.8,27.51
mount isa,53,AU,1573441582,6,-20.73,139.49,95.0,8.05
ternate,75,PH,1573441582,62,14.29,120.72,87.62,3.36
homer,40,US,1573441582,86,59.64,-151.54,42.15,6.33
damghan,0,IR,1573441583,37,36.17,54.34,42.48,3.62
